abn,charity_name,state,charity_size,conducted_activities,main_activity,staff_part_time_2017,staff_casual_2017,staff_full_time_2017,staff_volunteers,operates_in_vic,government_grants_2017,donations_and_bequests_2017,all_other_revenue_2017,total_revenue_2017,other_income_2017,total_gross_income_2017,employee_expenses_2017,interest_expenses_2017,grants_and_donations_made_for_use_in_australia_2017,grants_and_donations_made_for_use_outside_australia_2017,all_other_expenses_2017,total_expenses_2017,net_surplus_deficit_2017,ABN_Validation
21600039754,3000acres Grow Ltd,VIC,Small,y,Other Health Service Delivery,2,0,1,15,y,24150,24920,57249,123321,0,123321,68570,0,0,0,31381,99951,23370,Valid ABN
76590200359,3216 Connect Inc,VIC,Small,y,Emergency And Relief,0,0,0,30,y,2700,0,45219,47919,0,47919,0,0,26005,9712,10117,45834,2085,Valid ABN
17118033959,401 CHURCH STREET BUILDING FUND PTY LTD,VIC,Small,y,Social Services,0,0,0,5,y,0,0,121012,121012,0,121012,0,0,0,0,30301,30301,90711,Valid ABN
40907028959,4P Aussie Kidz Inc,VIC,Small,y,Social Services,0,0,0,4,y,0,1000,0,1103,0,1103,0,0,19935,0,405,20340,-19237,Valid ABN
29041947678,A F E Common Equity Rental Housing Co-operative Limited,VIC,Small,y,Housing Activities,0,0,0,5,y,0,0,174857,174857,0,174857,0,0,0,0,165783,165783,9074,Valid ABN
90006691185,A.Q.A. VIC Limited,VIC,Large,y,Social Services,196,345,175,73,y,11282970,10806,60804,14163431,5281,14168712,12802812,0,0,0,858947,13661759,506953,Valid ABN
80789629441,A2B SUPPORT INC,VIC,Small,y,"Economic, Social And Community Development",0,0,0,12,y,0,24421,0,24421,0,24421,0,0,0,18951,3045,21996,2425,Valid ABN
18167314267,AARDO Afghan Australian Rehabilitation and Development Organization Inc,VIC,Small,y,Social Services,0,0,0,18,y,12700,5650,0,18350,0,18350,0,0,19350,0,0,19350,-1000,Valid ABN
81682573630,Aardvark Music Inc,VIC,Small,y,Other Health Service Delivery,3,0,1,10,y,99280,0,1804,101084,0,101084,102192,0,0,0,14775,116967,-15883,Valid ABN
64122901704,Abacus Learning Centre Ltd,VIC,Medium,y,Other Education,6,14,13,12,y,47007,53359,43932,707548,0,707548,706009,0,0,0,104704,810713,-103165,Valid ABN
91005954905,Abbeyfield Australia Limited,VIC,Small,y,Housing Activities,3,1,2,10,y,0,28000,0,223634,0,223634,152049,0,0,0,157976,310025,-86391,Valid ABN
13997081950,Abbeyfield Society Dingley Village Inc,VIC,Small,y,Aged Care Activities,1,4,1,20,y,5500,2000,194305,206016,1236,207252,107066,0,0,0,109029,216095,-8843,Valid ABN
33625968259,Abbeyfield Society Melton & District Incorporated,VIC,Small,y,Aged Care Activities,0,4,2,5,y,119428,0,0,126986,0,126986,68692,0,0,0,50965,119657,7329,Valid ABN
42070236744,Abcd: Art Building Children's Dreams (Australia) Inc,VIC,Small,y,International Activities,0,0,0,30,y,0,51,0,663,0,663,0,0,0,0,1236,1236,-573,Valid ABN
72521425914,ABERLEA INC.,VIC,Large,y,Aged Care Activities,50,18,47,60,y,1963491,27788,1257560,3461409,0,3461409,2838783,19199,0,0,720517,3578499,-117090,Valid ABN
12687887276,Ability Dignity Access Management inc.,VIC,Medium,y,Social Services,2,26,6,3,y,494048,0,0,494048,0,494048,455307,0,0,0,64652,519959,-25911,Valid ABN
87075933612,Ability Works Australia Ltd,VIC,Large,y,Employment And Training,117,10,71,0,y,1591941,16500,562,2740097,0,2740097,1887063,0,0,0,700441,2587504,152593,Valid ABN
83024339234,Able Australia Services,VIC,Large,y,Social Services,297,137,166,231,y,28213619,2765565,6471392,37450576,0,37450576,28375734,5513,0,0,7620097,36001344,1449232,Valid ABN
83190789757,ABOLISHION INC,VIC,Small,y,International Activities,1,0,4,20,y,0,83715,0,87506,82,87588,5542,0,0,58271,40202,104015,-16427,Valid ABN
22907664394,Aboriginal Community Elders Services Incorporated,VIC,Large,y,Aged Care Activities,26,4,32,8,y,3598854,650,54687,4029332,0,4029332,2637474,0,0,0,1351545,3989019,40313,Valid ABN
37816809672,Aboriginal Evangelical Fellowship Family And Youth services Inc,VIC,Small,y,"Economic, Social And Community Development",1,0,0,0,y,0,64762,10000,75262,0,75262,6000,0,0,8100,64140,78240,-2978,Valid ABN
38006210546,Aboriginal Housing VIC Limited,VIC,Large,y,Housing Activities,9,0,52,1,y,3635000,796,206457804,224960372,0,224960372,4152031,0,0,0,10620982,14773013,210187359,Valid ABN
63606107653,Aboriginal Wellness Foundation Limited,VIC,Medium,y,"Economic, Social And Community Development",0,0,0,18,y,318250,0,0,318250,0,318250,0,0,0,0,198295,198295,119955,Valid ABN
13664835610,Aborigines Advancement League Inc,VIC,Large,y,Social Services,5,5,26,10,y,3063415,62610,44607,3543715,0,3543715,2055255,0,16750,0,1502199,3574204,-30489,Valid ABN
13979827341,Acacia Avenue Pre-School Assoc Inc,VIC,Medium,y,Other Education,4,0,3,30,y,196478,0,34429,332347,0,332347,250603,0,0,0,79562,330165,2182,Valid ABN
76707214671,Acacia Indochinese Community Support Association,VIC,Large,y,Other Education,7,16,25,0,y,1685268,0,28024,2930154,0,2930154,2505326,102422,0,0,907331,3515079,-584925,Valid ABN
26077365434,Acc International Relief Inc.,VIC,Large,y,International Activities,5,0,3,10,y,0,6693168,96592,6802268,0,6802268,372279,0,0,5930532,217727,6520538,281730,Valid ABN
11116169647,Access Aid International Ltd.,VIC,Small,y,International Activities,0,0,0,3,y,0,2050,0,2050,0,2050,0,0,0,10750,699,11449,-9399,Valid ABN
51627404049,Access Australia Group Limited,VIC,Large,y,Employment And Training,136,36,110,10,y,6571052,9115,81200,8783708,15988,8799696,6199858,0,0,0,2509107,8708965,90731,Valid ABN
82136672681,Access Health and Community,VIC,Large,y,Other Health Service Delivery,178,71,155,180,y,10232782,9012,189518,16678335,1832747,18511082,14169465,0,0,0,3074234,17243699,1267383,Valid ABN
25501567403,Access Incorporated,VIC,Medium,y,Other Education,6,1,3,40,y,6761,162700,0,277463,520,277983,251091,0,0,0,99090,350181,-72198,Valid ABN
44141403634,Access Services For Koories Ltd.,VIC,Medium,y,Other Health Service Delivery,1,0,5,0,y,664971,0,0,672839,2047,674886,398399,0,0,0,268619,667018,7868,Valid ABN
53149249810,Accident Scene Management Australia Limited,VIC,Small,y,Other Education,0,2,0,0,y,0,0,1589,5315,0,5315,0,0,0,0,6043,6043,-728,Valid ABN
73990825568,Accih Foundation,VIC,Small,y,Social Services,2,0,0,6,y,0,15000,0,136403,0,136403,41294,0,41666,0,64026,146986,-10583,Valid ABN
63118227259,Accounting Professional & Ethical Standards Board Limited,VIC,Large,y,Other Education,7,0,5,20,y,0,0,1429869,1429869,21680,1451549,951999,0,0,0,474911,1426910,24639,Valid ABN
99007168634,Acoustic Neuroma Association Australia,VIC,Small,y,Social Services,0,0,0,18,y,0,1092,8565,10054,0,10054,0,0,0,0,5487,5487,4567,Valid ABN
32390500229,Action On Disability Within Ethnic Communities Inc,VIC,Large,y,Social Services,24,33,33,11,y,2305230,661,20685,2823839,0,2823839,2103243,0,150,0,557810,2661203,162636,Valid ABN
28081100245,Active Community Housing Limited,VIC,Large,y,Housing Activities,3,0,8,0,y,444830,0,0,3760152,0,3760152,680350,0,0,0,2586516,3266866,493286,Valid ABN
75153550102,Active Health Portland Ltd,VIC,Large,y,Other Health Service Delivery,11,0,7,0,y,149515,0,16447,1488645,0,1488645,1209023,0,0,0,204885,1413908,74737,Valid ABN
88219345185,Actu Education Inc,VIC,Large,y,Other Education,7,0,16,0,y,0,0,429803,3469462,0,3469462,2332934,0,0,0,1165169,3498103,-28641,Valid ABN
20553522692,Ada Mary A'Beckett Childrens Centre Inc,VIC,Large,y,Other Education,13,5,34,0,y,1458067,1000,0,3866536,0,3866536,3165956,762,576,0,613127,3780421,86115,Valid ABN
95338179361,Adass Israel Welfare Fund,VIC,Medium,y,Emergency And Relief,0,0,0,3,y,0,502525,0,502525,0,502525,0,0,0,0,0,0,502525,Valid ABN
22616198924,Addiction Recovery Foundation Ltd,VIC,Medium,y,Other Health Service Delivery,0,2,3.14,3,y,0,25500,1800,285983,0,285983,83081,0,0,0,113812,196893,89090,Valid ABN
31279225481,Advance College of Education Incorporated,VIC,Large,y,Other Education,10,0,9,0,y,1741363,1753,0,1746635,0,1746635,798904,0,0,0,807635,1606539,140096,Valid ABN
49085581362,Advanced Paediatric Life Support Australia,VIC,Large,y,Other Health Service Delivery,9,1,8,600,y,0,0,86268,3834002,0,3834002,875903,0,0,0,2558028,3433931,400071,Valid ABN
23082541240,Advocacy And Rights Centre Limited,VIC,Large,y,Law And Legal Services,15,4,25,101,y,2667345,178,56994,2741139,0,2741139,1907860,0,0,0,787654,2695514,45625,Valid ABN
71291421604,Advocacy for Oromia Association in VIC Australia Inc,VIC,Small,y,Social Services,0,0,0,15,y,7000,200,300,7500,0,7500,0,0,6000,1000,0,7000,500,Valid ABN
92067484146,Afl Sports Ready Limited,VIC,Large,y,Employment And Training,92,192,642,0,y,4571862,0,0,19458292,0,19458292,13676199,0,0,0,5863282,19539481,-81189,Valid ABN
87665832884,AFMVICCARE Incorporated,VIC,Small,y,Income Support And Maintenance,0,0,0,15,y,0,5230,0,5230,0,5230,0,0,500,0,1124,1624,3606,Valid ABN
57918537856,African Christian Kush Aid Program of Australia Inc.,VIC,Small,y,Emergency And Relief,0,0,0,15,y,0,628,0,628,0,628,0,0,0,0,10510,10510,-9882,Valid ABN
13082367638,AG Leech Kindergarten Inc,VIC,Small,y,Other Education,0,0,0,12,y,0,0,28106,37592,0,37592,0,0,0,0,0,0,37592,Valid ABN
97361098908,Agape Orphanage Network (Australia) Inc.,VIC,Small,y,"Economic, Social And Community Development",0,0,0,5,y,0,28024,0,28024,0,28024,0,0,0,24954,1112,26066,1958,Valid ABN
55893634830,Agapi Care Inc,VIC,Large,y,Other Health Service Delivery,3,27,13,15,y,1735433,63998,86798,3291437,58630,3350067,1830469,0,41007,0,494360,2365836,984231,Valid ABN
42120418582,AgBiz Assist Limited,VIC,Large,y,"Economic, Social And Community Development",7,0,13,1,y,1703190,42855,17318,1769169,0,1769169,1191012,0,0,0,526134,1717146,52023,Valid ABN
48609882288,Aged & Community Services Australia,VIC,Large,y,Aged Care Activities,20,0,0,0,y,0,0,1000,3499334,0,3499334,2510471,0,0,0,921383,3431854,67480,Valid ABN
65070261871,Aged & Community Services Australia Incorporated,VIC,Large,y,Aged Care Activities,1,0,0,0,y,360000,0,1933691,2309086,12719,2321805,1030449,0,0,0,1119621,2150070,171735,Valid ABN
43609902883,Agora Dialogue Ltd,VIC,Small,y,Other Education,0,0,0,5,y,0,0,0,74000,0,74000,0,0,0,0,72985,72985,1015,Valid ABN
13755928852,Aiding Casey Education Foundation Incorporated,VIC,Small,y,Other Education,0,0,5,2,y,0,43400,51804,95204,0,95204,0,0,31947,0,22193,54140,41064,Valid ABN
72614388340,AIOH Foundation Ltd,VIC,Small,y,Other Education,0,0,0,3,y,0,12090,0,12090,0,12090,0,0,0,0,0,0,12090,Valid ABN
15305627143,Airport West Early Learning Cooperative,VIC,Large,y,Other Education,6,2,14,0,y,49513,8051,10500,1230460,562,1231022,1000726,0,0,0,211341,1212067,18955,Valid ABN
36151807341,Al Kamal Arabic School Inc,VIC,Small,y,Other Education,0,0,0,28,y,38767,265,935,62647,0,62647,0,0,0,0,77594,77594,-14947,Valid ABN
93153706140,Al Sadiq Foundation Ltd,VIC,Small,y,Housing Activities,0,0,0,6,y,0,210000,0,210000,0,210000,0,0,0,11570,0,11570,198430,Valid ABN
14634097750,Alamein Neighbourhood And Learning Centre Inc,VIC,Medium,y,Other Education,3,19,4,36,y,321545,3668,663,387476,0,387476,320863,0,0,0,65585,386448,1028,Valid ABN
94692075085,Albert Park Pre-School Centre,VIC,Medium,y,Other Education,2,1,4,0,y,166436,5865,14297,366585,0,366585,326365,0,1107,0,41427,368899,-2314,Valid ABN
89154710586,Albury Wodonga Regional Foodshare,VIC,Small,y,Emergency And Relief,2,1,1,112,y,1545,96625,0,100315,0,100315,89289,0,0,0,57662,146951,-46636,Valid ABN
93115633326,Alcheringa Hostel Limited,VIC,Large,y,Aged Care Activities,147,28,117,40,y,7798592,535,98908,10602287,0,10602287,7796769,95700,0,0,4438612,12331081,-1728794,Valid ABN
66201173848,Alchester Village Pre-School Inc,VIC,Medium,y,Other Education,5,0,3,12,y,226296,0,102229,331361,0,331361,211957,0,0,0,84856,296813,34548,Valid ABN
66057731192,Alcohol and Drug Foundation Inc,VIC,Large,y,"Economic, Social And Community Development",19,23,103,10,y,13565041,47931,421193,14324931,0,14324931,8104116,0,1076567,0,4563882,13744565,580366,Valid ABN
93411448690,Alexandra Community Hub,VIC,Medium,y,Employment And Training,4,10,0,10,y,131629,20,23478,370582,0,370582,187141,0,0,0,180359,367500,3082,Valid ABN
63914724204,Alexandra Rsl Sub-Branch Building Patriotic Fund No 2578,VIC,Small,y,Social Services,0,0,0,5,y,0,300,269,5521,0,5521,0,0,0,0,5107,5107,414,Valid ABN
53117840337,Alexandra Rsl Sub-Branch Welfare Patriotic Fund No W51,VIC,Small,y,Social Services,0,0,0,5,y,0,0,16,337,0,337,0,0,0,0,332,332,5,Valid ABN
17955829224,Alf Community Services And Relief Fund Inc,VIC,Small,y,Social Services,0,0,0,30,y,0,147189,2400,149589,0,149589,1650,0,86262,2043,99883,189838,-40249,Valid ABN
14513037515,Alfred Nuttall Memorial Kindergarten Incorporated,VIC,Medium,y,Other Education,6,2,4,75,y,262169,0,6246,389450,0,389450,326868,0,0,0,51008,377876,11574,Valid ABN
25627434621,Al-Ikhlas Institute Inc,VIC,Small,y,Other Education,0,2,2,1,y,0,0,0,4434,0,4434,1440,0,0,0,1872,3312,1122,Valid ABN
29169962234,ALIVE CRUSADE INC,VIC,Small,y,Mental Health And Crisis Intervention,0,0,0,15,y,0,20273,0,20273,0,20273,0,0,0,0,12963,12963,7310,Valid ABN
57168993600,Aliya Benevolent Society Inc.,VIC,Small,y,Mental Health And Crisis Intervention,1,0,0,2,y,0,78609,0,78609,120,78729,24800,0,78609,0,43387,146796,-68067,Valid ABN
47368869748,Alkira Centre Box Hill Inc,VIC,Large,y,Social Services,78,41,140,40,y,8051564,740950,8297,9497070,1032,9498102,7192173,0,0,0,1715894,8908067,590035,Valid ABN
47611470154,All in One Gujarati Helpline Ltd,VIC,Small,y,Social Services,0,0,0,0,y,0,0,13982,13982,0,13982,0,0,0,0,9132,9132,4850,Valid ABN
70654239229,All Saints Pre-School Yarra Junction Inc,VIC,Small,y,Other Education,5,3,0,50,y,152657,8802,0,210003,1568,211571,151746,0,0,0,31092,182838,28733,Valid ABN
57159463393,All4Fiji Incorporated,VIC,Small,y,International Activities,0,0,0,0,y,0,2442,0,2442,0,2442,0,0,0,0,321,321,2121,Valid ABN
77481049785,Allambi Elderly Peoples Home,VIC,Large,y,Aged Care Activities,17,5,12,25,y,602526,30176,149656,1217293,0,1217293,905512,6577,0,0,302903,1214992,2301,Valid ABN
66924018670,Allanvale Pre School Centre (Leopold) Inc.,VIC,Small,y,Other Education,7,0,4,15,y,6929,0,0,16623,470,17093,0,0,0,0,50503,50503,-33410,Valid ABN
32386589943,Allergy & Environmental Sensitivity Support & Research Association Inc,VIC,Small,y,Other Health Service Delivery,0,0,0,12,y,3520,221426,5967,234586,0,234586,0,0,0,0,18539,18539,216047,Valid ABN
38248146719,Allwood Neighbourhood House Incorporated,VIC,Small,y,Other Education,2,0,0,12,y,103548,0,0,112434,0,112434,53927,0,0,0,40615,94542,17892,Valid ABN
20132084050,Alola Australia Limited,VIC,Small,y,"Economic, Social And Community Development",0,0,0,20,y,0,191509,0,194003,0,194003,0,0,0,152787,31443,184230,9773,Valid ABN
64831331597,Alphington Community Centre Inc,VIC,Small,y,"Economic, Social And Community Development",1,3,2,90,y,154093,7469,255,172079,0,172079,115929,0,817,0,54608,171354,725,Valid ABN
11007434362,Alphington Grammar School,VIC,Large,y,Other Education,28,11,53,2,y,3464187,65298,387673,12886375,0,12886375,7378537,60592,0,0,4537096,11976225,910150,Valid ABN
79587379175,Alpine Search And Rescue VIC Inc,VIC,Small,y,Emergency And Relief,0,0,0,50,y,5000,29231,5786,40496,0,40496,0,0,0,0,35556,35556,4940,Valid ABN
80349491851,ALPINE SPECIAL KIDS,VIC,Small,y,Emergency And Relief,0,0,0,6,y,0,384,0,384,0,384,0,0,3373,0,0,3373,-2989,Valid ABN
92898017210,Alpine Valleys Community Leadership Inc.,VIC,Medium,y,"Economic, Social And Community Development",3,10,2,110,y,225158,24745,5246,417705,0,417705,191300,0,0,0,222172,413472,4233,Valid ABN
71872745914,Altona Lifesaving Club,VIC,Small,y,Emergency And Relief,0,0,0,100,y,25795,6261,26822,125064,0,125064,0,0,0,0,104732,104732,20332,Valid ABN
88118503819,Altona Meadows Kindergarten Inc,VIC,Medium,y,Other Education,6,0,0,0,y,218362,0,1167,253134,2268,255402,199911,0,0,0,58039,257950,-2548,Valid ABN
60353279585,Altona Rsl Sub-Branch Inc,VIC,Large,y,Social Services,2,17,12,43,y,0,0,23252,4309827,0,4309827,856591,0,45304,0,3234700,4136595,173232,Valid ABN
58948367990,ALTONA RSL SUB-BRANCH PATRIOTIC FUND,VIC,Medium,y,Social Services,0,0,0,5,y,0,0,275004,286252,0,286252,0,0,0,0,229311,229311,56941,Valid ABN
37977183894,ALTONA RSL WELFARE PATRIOTIC FUND,VIC,Small,y,Social Services,0,0,0,5,y,0,0,2879,2879,0,2879,0,0,0,306,2713,3019,-140,Valid ABN
29606661125,Aluminium Stewardship Initiative Ltd,VIC,Medium,y,Other Education,0,0,1,0,y,0,0,3716,828049,0,828049,239872,0,0,0,494783,734655,93394,Valid ABN
14671840186,Alzheimer's Australia Vic Ltd,VIC,Large,y,Aged Care Activities,47,27,92,118,y,13016238,1716284,1085918,16730698,4605,16735303,9306685,41676,0,0,7204306,16552667,182636,Valid ABN
97640744103,AMAFHH Federation Inc,VIC,Small,y,Social Services,0,0,0,110,y,9150,3755,6242,19147,580,19727,3577,0,9469,3577,1116,17739,1988,Valid ABN
27950105846,Amaroo Neighbourhood Centre Inc,VIC,Small,y,"Economic, Social And Community Development",2,0,2,27,y,101609,1368,1500,188973,690,189663,133534,0,0,0,58990,192524,-2861,Valid ABN
15600724949,Amaze Incorporated,VIC,Large,y,Social Services,11,2,19,2,y,1719275,127251,362903,2209429,83100,2292529,1522670,0,0,0,1075047,2597717,-305188,Valid ABN
60119037688,Amazing Discoveries Pty Ltd,VIC,Small,y,Other Education,1,0,0,0,y,0,0,0,0,0,0,0,0,0,0,7153,7153,-7153,Valid ABN
35795165583,Amicus Group Inc,VIC,Large,y,Social Services,45,55,67,5,y,3929487,0,117526,4845783,9058,4854841,3965635,0,0,0,605966,4571601,283240,Valid ABN
66165269670,Amitofo Care Centre Australia,VIC,Small,y,International Activities,0,0,0,100,y,0,38198,661,38859,0,38859,0,0,26115,0,0,26115,12744,Valid ABN
98006037529,AMPLA Limited,VIC,Medium,y,Other Education,2,0,3,30,y,0,0,0,955058,0,955058,465623,0,0,0,379551,845174,109884,Valid ABN
53088413129,Amrita Australia Limited,VIC,Small,y,International Activities,0,0,0,10,y,0,908,135,1043,0,1043,0,0,0,0,1080,1080,-37,Valid ABN
41355658648,Anam Cara House Geelong Ltd,VIC,Medium,y,Other Health Service Delivery,8,15,5,60,y,0,389305,369688,758993,0,758993,581431,0,0,0,209561,790992,-31999,Valid ABN
15969822381,Ananda Marga Pracaraka Samgha Ltd Preschool,VIC,Medium,y,Other Education,5,4,0,10,y,282405,0,37645,704118,0,704118,363531,0,8030,7869,160942,540372,163746,Valid ABN
80952878595,Anchor Inc,VIC,Large,y,Social Services,20,3,37,118,y,4214457,49228,64160,4380239,0,4380239,2867119,0,0,0,1309847,4176966,203273,Valid ABN
36411746223,Andrew Kerr Care Ltd,VIC,Large,y,Aged Care Activities,94,23,78,49,y,4913831,18571,0,7800118,0,7800118,5663783,38362,0,0,1460859,7163004,637114,Valid ABN
30818269946,Andrews Community Kindergarten Inc,VIC,Small,y,Other Education,5,0,0,10,y,10191,0,20707,30898,0,30898,0,0,0,0,21666,21666,9232,Valid ABN
40631078926,Angel Light Link,VIC,Small,y,"Economic, Social And Community Development",4,1,1,20,y,15682,26776,22456,68914,9,68923,36958,0,0,0,31948,68906,17,Valid ABN
27562583308,Angela Taylor Memorial Trust,VIC,Small,y,Other Education,2,0,0,0,y,0,0,0,0,12106,12106,0,0,0,0,11987,11987,119,Valid ABN
16851002745,ANGELSEA RSL SUB-BRANCH WELFARE PATRIOTIC FUND NO W53,VIC,Small,y,Social Services,0,0,0,5,y,0,0,0,0,0,0,0,0,0,0,0,0,0,Valid ABN
62704931585,Anglesea Community House Inc,VIC,Small,y,"Economic, Social And Community Development",8,0,1,14,y,0,0,5000,200178,0,200178,189023,0,2050,0,28313,219386,-19208,Valid ABN
73796809195,Anglesea Kindergarten Inc,VIC,Small,y,Other Education,0,0,0,12,y,13538,4506,2,18046,1314,19360,11196,0,0,0,16864,28060,-8700,Valid ABN
77812545768,ANGLESEA RSL SUB-BRANCH PATRIOTIC FUND,VIC,Small,y,Social Services,0,0,0,5,y,0,0,0,0,0,0,0,0,0,0,880,880,-880,Valid ABN
14544659974,Anglesea Surf Lifesaving Club Inc.,VIC,Medium,y,Other Health Service Delivery,0,2,0.6,100,y,56623,431616,405785,936091,0,936091,72693,0,6600,0,469966,549259,386832,Valid ABN
60082451992,Anglican Aged Care Services Group,VIC,Large,y,Aged Care Activities,762,345,833,268,y,79911000,113000,16462000,125399000,1172000,126571000,68026000,429000,0,0,39584000,108039000,18532000,Valid ABN
87952773359,Anglican Relief & Development Fund Inc,VIC,Small,y,Emergency And Relief,0,0,5,12,y,0,101782,0,102629,0,102629,0,0,0,96553,0,96553,6076,Valid ABN
97397067466,Anglicare VIC,VIC,Large,y,Social Services,577,256,1005,2000,y,106370000,5696000,0,115154000,1696000,116850000,93491000,0,0,0,25415000,118906000,-2056000,Valid ABN
67707600844,Anglicare VIC Childrens Foundation,VIC,Large,y,"Economic, Social And Community Development",0,0,0,0,y,0,215516,1927242,3350269,0,3350269,0,0,1037722,0,439092,1476814,1873455,Valid ABN
39116072050,Anglicord Limited,VIC,Large,y,International Activities,6,0,7,25,y,738317,1011531,15231,1815166,0,1815166,595082,0,0,1032295,152839,1780216,34950,Valid ABN
93919125862,Angliss Neighbourhood House,VIC,Small,y,"Economic, Social And Community Development",3,1,2,8,y,217730,0,1377,226747,0,226747,142823,0,0,0,1869,144692,82055,Valid ABN
66943166401,Anglo-Indian Australasian Association Of VIC Inc,VIC,Small,y,Aged Care Activities,0,0,0,7,y,1500,7600,19460,28560,0,28560,0,0,3000,0,6100,9100,19460,Valid ABN
67848685569,Anhui Association Of Australia Inc.,VIC,Small,y,Social Services,0,0,0,25,y,0,22353,1580,23933,0,23933,0,0,0,0,10852,10852,13081,Valid ABN
66915454826,Ankylosing Spondylitis VIC Inc,VIC,Small,y,Other Health Service Delivery,0,0,0,6,y,2710,315,659,3885,0,3885,0,0,0,0,2889,2889,996,Valid ABN
55106911329,Ann Woodruff Trust,VIC,Small,y,Other Education,3,0,1,0,y,0,0,0,26397,0,26397,0,0,0,0,0,0,26397,Valid ABN
25725348150,Anne Sgro Childrens Centre Association Incorporated,VIC,Large,y,Other Education,6,6,14,10,y,103924,0,8394,1858685,0,1858685,1564296,0,0,0,259068,1823364,35321,Valid ABN
69045491808,Annecto Inc,VIC,Large,y,Social Services,108,159,340,40,y,36024802,46511,162033,36331445,0,36331445,23628920,13387,0,0,12071617,35713924,617521,Valid ABN
61512271207,Annie Dennis Children's Centre Inc.,VIC,Large,y,Other Education,14,3,57,0,y,0,0,2243480,2243480,5403,2248883,1996675,0,0,0,211030,2207705,41178,Valid ABN
43075400698,Annie North Inc,VIC,Large,y,Emergency And Relief,13,3,6,0,y,677133,69766,30925,1037014,0,1037014,766975,0,0,0,232194,999169,37845,Valid ABN
81540197094,Anthroposophical Society Of VIC - Michael Group Inc,VIC,Small,y,Other Education,0,0,0,45,y,0,680,67386,73125,0,73125,0,0,0,0,69196,69196,3929,Valid ABN
84292913795,Antiochian Community Support Association Incorporated,VIC,Small,y,Social Services,0,1,0,4,y,91400,0,0,91500,0,91500,4000,0,0,0,16101,20101,71399,Valid ABN
80820986452,Anti-Slavery Society,VIC,Small,y,International Activities,0,0,0,6,y,0,1000,0,2008,0,2008,0,0,0,2000,2204,4204,-2196,Valid ABN
11975769831,Anti-Violence Project Of VIC Inc,VIC,Small,y,Social Services,0,0,0,12,y,10560,45,0,10605,0,10605,0,0,0,0,879,879,9726,Valid ABN
85146084068,Antonine Sisters Aged Care Services Ltd,VIC,Small,y,Aged Care Activities,0,0,0,0,y,0,49992,21417,71409,0,71409,0,0,0,0,41986,41986,29423,Valid ABN
82908013504,Antonine Sisters VIC Property Association Inc,VIC,Medium,y,Other Education,0,0,8,8,y,0,0,0,493487,0,493487,0,0,0,101000,119644,220644,272843,Valid ABN
70607186815,Anxiety Disorders Association Of VIC Inc,VIC,Small,y,Mental Health And Crisis Intervention,0,3,0,80,y,5610,30874,2020,81066,0,81066,15760,0,36484,0,8711,60955,20111,Valid ABN
30275694319,Apex Pre School Centre Inc,VIC,Medium,y,Other Education,3,2,2,9,y,229104,135,13012,308755,1175,309930,0,0,0,0,312852,312852,-2922,Valid ABN
45848143057,Apollo Bay Rsl,VIC,Small,y,Social Services,0,0,0,67,y,0,950,0,45112,0,45112,0,0,200,0,38516,38716,6396,Valid ABN
