abn,charity_name,state,charity_size,conducted_activities_2016,main_activity_2016,operates_in_vic,staff_full_time_2016,staff_part_time_2016,staff_casual_2016,staff_volunteers_2016,government_grants_2016,donations_and_bequests_2016,all_other_revenue_2016,total_revenue_2016,other_income_2016,total_gross_income_2016,employee_expenses_2016,interest_expenses_2016,grants_and_donations_made_for_use_in_australia_2016,grants_and_donations_made_for_use_outside_australia_2016,all_other_expenses_2016,total_expenses_2016,net_surplus_deficit_2016,ABN_Validation
14374661392,Stretton Park Incorporated,VIC,Large,Y,Aged Care Activities,Y,1,24,4,2,1829657,401,1345218,3175276,0,3175276,1809604,0,0,0,810610,2620214,555062,Valid ABN
14428357750,Darlingford Upper Goulburn Nursing Home Inc,VIC,Large,Y,Aged Care Activities,Y,7,51,8,10,3030735,29605,932256,3992596,0,3992596,3526437,0,0,0,1025611,4552048,-559452,Valid ABN
15265805766,Dunmunkle Lodge Inc,VIC,Large,Y,Aged Care Activities,Y,7,35,13,0,1542756,1198,875594,2419548,89047,2508595,2131494,8613,1198,0,684763,2826068,-317473,Valid ABN
15397501912,Hamilton & District Legacy Club Inc,VIC,Small,Y,Aged Care Activities,Y,0,1,0,42,0,24686,42092,66778,4559,71337,9038,0,22175,0,41147,72360,-1023,Valid ABN
15509512399,Hamilton & District Aged Care Trust,VIC,Small,Y,Aged Care Activities,Y,0,0,0,24,0,2340,26110,28450,0,28450,0,0,0,0,1737,1737,26713,Valid ABN
15698364348,MannaCare Inc,VIC,Large,Y,Aged Care Activities,Y,14,240,78,184,12811611,57083,5697261,18565955,0,18565955,13456341,0,0,0,4627299,18083640,482315,Valid ABN
15974642842,Metcalfe And District Senior Citizens Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,2,2750,1000,1123,4873,4447,9320,150,0,200,0,10493,10843,-1523,Valid ABN
16404206269,The Trustee For The Armando Poli Charitable Fund,VIC,Small,Y,Aged Care Activities,Y,0,0,0,0,0,0,66776,66776,0,66776,0,0,19030,0,10,19040,47736,Valid ABN
17344959747,Violet Town Bush Nursing Centre Inc,VIC,Large,Y,Aged Care Activities,Y,10,120,22,50,3045058,76928,5076046,8198032,88289,8286321,3997045,14988,0,0,5211436,9223469,-937148,Valid ABN
17554852472,Mallacoota Inlet Aged Care,VIC,Small,Y,Aged Care Activities,Y,0,0,0,15,0,50320,25610,75930,0,75930,0,0,0,0,14708,14708,61222,Valid ABN
17950269588,Australian Swiss Cultural Societty Incorporated,VIC,Small,Y,Aged Care Activities,Y,0,0,0,11,0,2896,5404,8300,0,8300,0,0,100,0,9273,9373,-1073,Valid ABN
18087702537,Gisborne And District Community Health And Hospital Board Inc.,VIC,Large,Y,Aged Care Activities,Y,33,122,0,55,2069320,122734,6966036,9158090,0,9158090,6791992,1201,0,0,2898305,9691498,-533408,Valid ABN
18116186133,Warrnambool Rsl Sub Branch Inc,VIC,Large,Y,Aged Care Activities,Y,5,5,20,35,0,0,2523128,2523128,0,2523128,250098,0,4073,0,2206358,2460529,62599,Valid ABN
19663576961,Colac Rsl Incorporated,VIC,Large,Y,Aged Care Activities,Y,2,6,15,30,0,0,2361950,2361950,0,2361950,718266,0,0,0,1500074,2218340,143610,Valid ABN
20681711683,John Curtin Aged Care Inc,VIC,Large,Y,Aged Care Activities,Y,9,65,24,25,2427874,10000,1845917,4283791,0,4283791,3595951,0,0,0,1274965,4870916,-587125,Valid ABN
20851915039,Echuca Benevolent Society Inc,VIC,Large,Y,Aged Care Activities,Y,18,92,28,90,0,18506,10018816,10037322,0,10037322,6690478,33222,0,0,3373746,10097446,-60124,Valid ABN
21143961775,Phillip Island Senior Citizens Club Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,4,20,12382,0,57236,69618,0,69618,30008,0,0,0,40235,70243,-625,Valid ABN
21968433571,Prahran Rsl,VIC,Small,Y,Aged Care Activities,Y,0,0,0,12,0,0,0,0,131772,131772,0,0,0,0,147386,147386,-15614,Valid ABN
22245199522,Cobram Yarrawonga Group Of Melbourne Legacy Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,100,0,5450,31468,36918,0,36918,0,0,0,0,34092,34092,2826,Valid ABN
22411379840,Pakenham & District Hospital Incorporated,VIC,Large,Y,Aged Care Activities,Y,4,144,20,39,6290017,18623,2850200,9158840,531,9159371,7102802,0,0,0,2491332,9594134,-434763,Valid ABN
22907664394,Aboriginal Community Elders Services Incorporated,VIC,Large,Y,Aged Care Activities,Y,15,28,5,12,4078826,62111,0,4140937,527227,4668164,2405196,0,0,0,2207793,4612989,55175,Valid ABN
23273262009,Martin Luther Homes Boronia Inc,VIC,Large,Y,Aged Care Activities,Y,9,100,20,45,4589235,787291,1441398,6817924,1675674,8493598,5156408,8170,0,0,2518391,7682969,810629,Valid ABN
24248489259,The Federation Of Associations Of Spanish Speaking Senior Citizens In Victoria Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,0,40722,869,13,41604,3,41607,0,0,0,0,43191,43191,-1584,Valid ABN
24413439986,Indigo North Health Inc,VIC,Large,Y,Aged Care Activities,Y,4,83,22,80,4214258,0,1748606,5962864,0,5962864,5018021,0,0,0,1111056,6129077,-166213,Valid ABN
24534368073,Hamilton And District Pensioners Association Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,20,0,495,53335,53830,0,53830,0,0,2350,0,54396,56746,-2916,Valid ABN
24829385690,Ruscare Ltd,VIC,Large,Y,Aged Care Activities,Y,20,62,11,7,23509,184953,7210332,7418794,9014,7427808,5131600,2337,270553,0,2257186,7661676,-233868,Valid ABN
25010570011,Australian-Polish Benevolent Assn,VIC,Medium,Y,Aged Care Activities,Y,1,10,14,10,976755,14425,0,991180,806785,1797965,1260693,0,0,0,380368,1641061,156904,Valid ABN
25443413566,Avonlea Inc,VIC,Large,Y,Aged Care Activities,Y,2,19,3,2,806106,2397,1232844,2041347,0,2041347,1711254,0,0,0,497429,2208683,-167336,Valid ABN
25484834083,West Heidelberg Rsl Sub-Branch Inc,VIC,Large,Y,Aged Care Activities,Y,2,0,10,6,0,4955,1207449,1212404,0,1212404,457525,25666,0,0,790768,1273959,-61555,Valid ABN
25504571077,The Trustee For Care Of The Aged Fund Sacred Heart Oak Leigh,VIC,Small,Y,Aged Care Activities,Y,0,1,0,5,0,11000,5578,16578,0,16578,17256,0,0,0,0,17256,-678,Valid ABN
26066985408,Lyndoch Living Inc,VIC,Large,Y,Aged Care Activities,Y,64,274,66,145,22062247,45595,8407860,30515702,306,30516008,20050435,0,0,0,10595610,30646045,-130037,Valid ABN
26648709275,Eventide Homes (Stawell) Inc,VIC,Large,Y,Aged Care Activities,Y,20,85,3,30,0,16298,8200650,8216948,0,8216948,5222729,62623,0,0,1948097,7233449,983499,Valid ABN
26682486469,Geelong East Men's Shed (Gems) Inc.,VIC,Small,Y,Aged Care Activities,Y,0,0,0,45,0,12217,29517,41734,0,41734,0,0,0,0,798,798,40936,Valid ABN
26855887452,Congregation Of The Dominican Sisters Of Malta In Victoria Trust,VIC,Large,Y,Aged Care Activities,Y,4,29,3,6,2210440,2600,1253688,3466728,329408,3796136,1287642,0,0,3500,1546312,2837454,958682,Valid ABN
27004788612,Southern Cross Care (Vic),VIC,Large,Y,Aged Care Activities,Y,195,1003,138,338,64020190,233411,21834923,86088524,0,86088524,65131702,215069,0,0,30734412,96081183,-9992659,Valid ABN
27141628138,Sunshine Rsl Sub-Branch Incorporated,VIC,Large,Y,Aged Care Activities,Y,1,9,6,27,0,0,1777740,1777740,0,1777740,761696,1175,8458,0,588671,1360000,417740,Valid ABN
27369163101,Horticultural Therapy Association Of Victoria Inc,VIC,Small,Y,Aged Care Activities,Y,0,1,0,8,42805,0,3039,45844,820,46664,39048,0,50,0,4542,43640,3024,Valid ABN
27514658108,R M Begg Kyneton Aged Care Inc,VIC,Large,Y,Aged Care Activities,Y,2,122,16,46,4265257,63309,1999536,6328102,352045,6680147,5067261,0,0,0,1607589,6674850,5297,Valid ABN
27896385761,The Returned & Servicewomen's Sub-Branch Rsl,VIC,Small,Y,Aged Care Activities,Y,0,0,0,7,0,0,1590,1590,0,1590,0,0,0,0,2176,2176,-586,Valid ABN
28586074047,Ringwood Rsl Sub-Branch Inc,VIC,Large,Y,Aged Care Activities,Y,15,2,47,70,0,0,6794245,6794245,0,6794245,2002244,0,8178,0,4750646,6761068,33177,Valid ABN
28890322651,Burgher Association Australia Incorporated,VIC,Small,Y,Aged Care Activities,Y,0,0,0,15,5560,0,50893,56453,0,56453,0,0,0,1942,50106,52048,4405,Valid ABN
28902813989,Geelong Legacy Club Inc.,VIC,Medium,Y,Aged Care Activities,Y,0,3,0,75,32000,193231,104534,329765,0,329765,77028,0,78107,0,169831,324966,4799,Valid ABN
28918592920,Golden Memories Karaoke_Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,16,733,100,41971,42804,20050,62854,0,0,0,0,89326,89326,-26472,Valid ABN
28992489506,The Missionary Sisters Of St Anthony Mary Claret Inc,VIC,Medium,Y,Aged Care Activities,Y,0,0,0,8,0,2573,335076,337649,0,337649,0,0,600,64687,173569,238856,98793,Valid ABN
29169378904,Karana Baptist Auxiliary,VIC,Small,Y,Aged Care Activities,Y,0,0,0,12,0,7914,0,7914,0,7914,0,0,0,0,6990,6990,924,Valid ABN
29396030183,Woorayl Lodge Inc,VIC,Large,Y,Aged Care Activities,Y,1,32,13,10,0,10035,2682790,2692825,0,2692825,1974286,13831,0,0,898866,2886983,-194158,Valid ABN
30009528173,Box Hill Rsl Sub Branch Incorporated,VIC,Large,Y,Aged Care Activities,Y,19,6,132,250,0,0,12402339,12402339,0,12402339,3079422,0,91284,0,8410221,11580927,821412,Valid ABN
30214451245,Noble Park Rsl Sub Branch Inc,VIC,Large,Y,Aged Care Activities,Y,5,4,10,29,0,8585,3476236,3484821,0,3484821,678377,213,5636,0,2469245,3153471,331350,Valid ABN
30887357671,Pascoe Vale Rsl Sub-Branch Inc,VIC,Large,Y,Aged Care Activities,Y,9,1,21,52,0,10525,4972627,4983152,0,4983152,1246113,2584,3255,0,3647502,4899454,83698,Valid ABN
31225940144,Mordialloc Community Nursing Home Inc,VIC,Large,Y,Aged Care Activities,Y,0,0,0,8,1212674,2550,419424,1634648,1705577,3340225,1640404,0,0,0,460943,2101347,1238878,Valid ABN
32004364103,Villa Maria Catholic Homes Limited,VIC,Large,Y,Aged Care Activities,Y,273,1218,563,560,101972000,3625000,36775000,142372000,31471000,173843000,94167000,444000,0,0,46894000,141505000,32338000,Valid ABN
32252604420,Greensborough Rsl Sub Branch Inc,VIC,Large,Y,Aged Care Activities,Y,10,34,23,80,0,8216,8093080,8101296,113439,8214735,2554705,0,77130,0,5469478,8101313,113422,Valid ABN
32429763569,Macedonian Community Welfare Assoc Inc,VIC,Medium,Y,Aged Care Activities,Y,5,14,7,9,925242,0,8263,933505,138560,1072065,717704,0,0,0,353617,1071321,744,Valid ABN
32813958973,Serbian Social Services And Support Inc,VIC,Medium,Y,Aged Care Activities,Y,4,0,0,50,253761,1940,14115,269816,0,269816,188249,0,1350,0,113830,303429,-33613,Valid ABN
32993506954,Indochinese Elderly Refugees Association,VIC,Large,Y,Aged Care Activities,Y,11,42,20,10,10583069,167025,1238586,11988680,80669,12069349,5104010,29334,5300,0,1147611,6286255,5783094,Valid ABN
33117797981,Rosebud Police Senior Citizensregister,VIC,Small,Y,Aged Care Activities,Y,0,0,0,40,0,5236,20261,25497,0,25497,0,0,0,0,33240,33240,-7743,Valid ABN
33196026879,Healesville R S L Sub-Branch Inc,VIC,Large,Y,Aged Care Activities,Y,6,8,21,17,0,11516,3406916,3418432,742,3419174,865201,5546,0,0,2527303,3398050,21124,Valid ABN
33751758667,The Trustee For Dementia Foundation For Spark Of Life,VIC,Small,Y,Aged Care Activities,Y,0,2,0,6,0,101754,777,102531,3,102534,6550,0,0,0,65120,71670,30864,Valid ABN
33847848584,Lang Lang Aged Care,VIC,Small,Y,Aged Care Activities,Y,0,0,0,20,0,9500,120,9620,0,9620,0,0,0,0,12696,12696,-3076,Valid ABN
33929275686,Assisi Centre Incorporated,VIC,Large,Y,Aged Care Activities,Y,13,127,30,30,8155471,69691,4258258,12483420,0,12483420,8431925,0,0,0,4310386,12742311,-258891,Valid ABN
34252646430,The Australian Hidayah Foundation Incorporated,VIC,Small,Y,Aged Care Activities,Y,1,2,6,4,0,39911,0,39911,0,39911,500,0,399,38580,432,39911,0,Valid ABN
34550588319,Alexandra Opportunity Shop Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,30,0,0,109,109,15,124,0,0,0,0,14,14,110,Valid ABN
35183785369,Willaura Hospital Auxiliary,VIC,Small,Y,Aged Care Activities,Y,0,0,0,12,2000,2200,11837,16037,0,16037,0,0,8220,0,3610,11830,4207,Valid ABN
35678241392,Cann River Rsl Sub-Branch,VIC,Small,Y,Aged Care Activities,Y,0,0,0,5,0,2720,0,2720,0,2720,0,0,0,0,1488,1488,1232,Valid ABN
35828116540,Association Of Greek Elderly Citizens Clubs Of Melbourne & Victoria Inc,VIC,Small,Y,Aged Care Activities,Y,1,0,0,600,1900,1280,7099,10279,0,10279,0,0,2754,0,18909,21663,-11384,Valid ABN
36411746223,Andrew Kerr Care Ltd,VIC,Large,Y,Aged Care Activities,Y,3,96,21,61,5210586,19988,1866254,7096828,1144523,8241351,5446534,43988,0,0,1064690,6555212,1686139,Valid ABN
36771155427,Sandringham Aged Care Association Inc,VIC,Large,Y,Aged Care Activities,Y,3,90,6,10,3962140,1000,1808448,5771588,912176,6683764,4148867,64668,0,0,1909556,6123091,560673,Valid ABN
36974270612,Islamic Society Of Melbourne Eastern Regions Inc,VIC,Large,Y,Aged Care Activities,Y,25,5,5,15,2078368,23863,1452866,3555097,325401,3880498,1267835,0,15435,6065,1660173,2949508,930990,Valid ABN
37578093050,Numurkah Rsl Sub-Branch,VIC,Small,Y,Aged Care Activities,Y,0,0,0,6,0,6012,0,6012,0,6012,0,0,0,0,23541,23541,-17529,Valid ABN
37674522356,South Eastern Group Of Melbourne Legacy Inc,VIC,Small,Y,Aged Care Activities,Y,1,0,0,40,0,42145,33057,75202,0,75202,34642,0,44408,0,10667,89717,-14515,Valid ABN
37808385753,The Trustee For The Taylor Foundation,VIC,Medium,Y,Aged Care Activities,Y,0,0,0,7,0,0,993288,993288,635328,1628616,0,0,0,0,1365940,1365940,262676,Valid ABN
37972629513,Catholic Homes For The Elderly Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,0,0,0,92000,92000,0,92000,0,0,0,0,199000,199000,-107000,Valid ABN
38475319104,Ebenezer Village Incorporated,VIC,Medium,Y,Aged Care Activities,Y,2,2,0,50,0,0,530038,530038,2353824,2883862,77959,0,0,0,269426,347385,2536477,Valid ABN
38533706468,Kosher Meals On Wheels Assn Of Vic,VIC,Small,Y,Aged Care Activities,Y,0,1,0,35,66516,19121,117140,202777,13396,216173,17068,0,0,0,144335,161403,54770,Valid ABN
38645298359,Latrobe Valley Village Inc,VIC,Large,Y,Aged Care Activities,Y,14,134,16,30,0,17448,10185932,10203380,0,10203380,6339681,11466,200,0,2240534,8591881,1611499,Valid ABN
39135737429,Cohuna Retirement Village Inc,VIC,Large,Y,Aged Care Activities,Y,7,33,9,55,1942851,20119,1090937,3053907,280229,3334136,2398369,360,0,0,809059,3207788,126348,Valid ABN
39196128141,Order Of Malta Hospice Home Care (Vic) Incorporated,VIC,Small,Y,Aged Care Activities,Y,0,0,0,80,0,28730,21676,50406,2658,53064,0,0,17500,0,22146,39646,13418,Valid ABN
40373057638,Unitingcare Goulburn North East,VIC,Large,Y,Aged Care Activities,Y,12,27,20,10,4341993,2457,1040140,5384590,0,5384590,2974436,0,0,0,2441906,5416342,-31752,Valid ABN
40521796879,Yarra Valley Group Of Melbourne Legacyincorporated,VIC,Small,Y,Aged Care Activities,Y,0,0,0,15,0,63099,67163,130262,0,130262,0,0,58484,0,26800,85284,44978,Valid ABN
40685448071,Nexus Primary Health,VIC,Large,Y,Aged Care Activities,Y,32,127,17,120,6975869,0,4017412,10993281,1085765,12079046,8475033,0,0,0,3416473,11891506,187540,Valid ABN
41004327315,The Company Of The Sisters Of St. Joseph Of Cluny,VIC,Small,Y,Aged Care Activities,Y,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Valid ABN
41070511616,St. Basil's Homes For The Aged In Victoria,VIC,Large,Y,Aged Care Activities,Y,40,80,0,30,9788768,338922,3440387,13568077,0,13568077,7160670,0,0,0,4925095,12085765,1482312,Valid ABN
42436910239,Inverleigh Rsl Sub-Branch,VIC,Small,Y,Aged Care Activities,Y,0,0,0,36,0,0,2608,2608,2142,4750,0,0,0,0,1592,1592,3158,Valid ABN
42577947434,Gunbower Senior Citizens Club,VIC,Small,Y,Aged Care Activities,Y,0,0,0,8,0,0,2228,2228,0,2228,0,0,0,0,3111,3111,-883,Valid ABN
43260282081,Eva Tilley Memorial Home Incorporated,VIC,Large,Y,Aged Care Activities,Y,12,63,43,50,5021202,79071,2256396,7356669,509468,7866137,5626886,0,0,0,2353446,7980332,-114195,Valid ABN
43287362778,Yallambee Traralgon Village For The Aged Inc,VIC,Large,Y,Aged Care Activities,Y,10,103,15,32,0,43345,8510827,8554172,0,8554172,6127014,1206,0,0,2610503,8738723,-184551,Valid ABN
43887911651,Uniting AgeWell Victoria,VIC,Large,Y,Aged Care Activities,Y,161,1150,303,600,74309423,498746,31028854,105837023,0,105837023,73149267,304408,101641,0,32551114,106106430,-269407,Valid ABN
44087648977,Latvian Friendly Society Ltd,VIC,Large,Y,Aged Care Activities,Y,5,55,21,5,1743061,221933,1833911,3798905,0,3798905,2934524,0,250,0,984343,3919117,-120212,Valid ABN
45079018114,The Friends Of The Donald Campus East Wimmera Health Service,VIC,Small,Y,Aged Care Activities,Y,0,0,0,20,0,20,26309,26329,2288,28617,0,0,4399,0,7232,11631,16986,Valid ABN
45451868620,North Gippsland Group Of Melbourne Legacy Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,25,0,19179,1379,20558,1208,21766,0,0,0,0,21232,21232,534,Valid ABN
45949886423,Tabulam And Templer Homes For The Aged Inc.,VIC,Large,Y,Aged Care Activities,Y,8,101,60,43,8739446,54592,4061181,12855219,403024,13258243,7831415,78999,0,0,2632323,10542737,2715506,Valid ABN
47301696329,Bendigo Legacy Club,VIC,Small,Y,Aged Care Activities,Y,0,2,0,53,18956,44930,89441,153327,0,153327,39117,0,0,0,144050,183167,-29840,Valid ABN
47518653890,Lynden Aged Care Association Inc,VIC,Large,Y,Aged Care Activities,Y,7,82,30,12,0,18000,7207321,7225321,0,7225321,5176277,22165,0,0,2626941,7825383,-600062,Valid ABN
47536206180,Nathalia/Picola Rsl Sub-Branch,VIC,Small,Y,Aged Care Activities,Y,0,0,0,10,0,0,5851,5851,0,5851,0,0,0,0,5526,5526,325,Valid ABN
47986487998,Christadelphian Welfare Association (Vic) Inc,VIC,Large,Y,Aged Care Activities,Y,2,110,41,90,5845574,67598,3344216,9257388,10612,9268000,5774408,45755,0,0,2509624,8329787,938213,Valid ABN
48522054140,Samarinda Ashburton Aged Services Inc,VIC,Large,Y,Aged Care Activities,Y,10,63,14,100,2765513,64881,1492800,4323194,1021541,5344735,3533249,0,0,0,3098540,6631789,-1287054,Valid ABN
48611749527,Seymour Elderly Citizens Hostel Inc,VIC,Large,Y,Aged Care Activities,Y,2,60,8,17,0,12055,4086125,4098180,0,4098180,3492962,0,0,0,1285265,4778227,-680047,Valid ABN
49467942596,Association Of New Elderly Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,15,5460,196,2171,7827,0,7827,0,0,5734,159,676,6569,1258,Valid ABN
50074253937,St John's Village Inc,VIC,Large,Y,Aged Care Activities,Y,8,129,36,49,9444684,3357,0,9448041,5276159,14724200,9405063,81621,0,0,5474550,14961234,-237034,Valid ABN
50319909625,Sunnyside House Inc,VIC,Large,Y,Aged Care Activities,Y,0,30,21,10,1900764,88887,1157407,3147058,0,3147058,2011580,8056,0,0,748915,2768551,378507,Valid ABN
50703845127,Lyrebird Village For The Aged Inc,VIC,Large,Y,Aged Care Activities,Y,5,101,38,30,0,3099,8400839,8403938,0,8403938,5710964,0,0,0,2383634,8094598,309340,Valid ABN
51072127238,MiCare Ltd,VIC,Large,Y,Aged Care Activities,Y,32,226,62,260,0,107821,18870662,18978483,0,18978483,12814013,68180,0,0,5431963,18314156,664327,Valid ABN
51088301713,Manor Court Werribee Aged Care Limited,VIC,Large,Y,Aged Care Activities,Y,16,76,23,20,5107685,46138,2087377,7241200,0,7241200,5409261,27031,250,0,1683266,7119808,121392,Valid ABN
51345914868,Croatian Catholic Welfare Association Inc,VIC,Small,Y,Aged Care Activities,Y,2,0,0,26,202245,0,259,202504,0,202504,154756,0,0,0,20054,174810,27694,Valid ABN
51367614137,Eltham And District Linc Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,25,1000,4400,0,5400,0,5400,0,0,0,0,4393,4393,1007,Valid ABN
51952388345,Yackandandah Bush Nursing Hospital Inc,VIC,Large,Y,Aged Care Activities,Y,4,64,18,45,3629229,2011,1932423,5563663,0,5563663,3737976,0,0,0,817101,4555077,1008586,Valid ABN
51965667895,Moe Rsl Sub Branch Inc,VIC,Large,Y,Aged Care Activities,Y,9,33,4,100,5900,6225,4867345,4879470,0,4879470,1483439,11746,5449,0,3249990,4750624,128846,Valid ABN
52082106821,Royal Freemasons Ltd,VIC,Large,Y,Aged Care Activities,Y,106,642,185,283,45768897,0,27630530,73399427,0,73399427,47666413,326140,0,0,21309879,69302432,4096995,Valid ABN
52472114380,Mauritian Golden Age Club Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,10,3060,0,10400,13460,0,13460,0,0,3720,0,1730,5450,8010,Valid ABN
52542034217,Avoca & District Senior Citizens Club Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,3,0,462,20014,20476,0,20476,0,0,0,0,17522,17522,2954,Valid ABN
52957089962,Hales Van Alphen Foundation Inc.,VIC,Small,Y,Aged Care Activities,Y,0,0,0,2,0,1915,34,1949,0,1949,1728,0,0,0,769,2497,-548,Valid ABN
53005882623,Lake Bolac Bush Nursing Centre Inc.,VIC,Medium,Y,Aged Care Activities,Y,0,7,8,12,398716,1473,34266,434455,8198,442653,331825,0,1835,0,77560,411220,31433,Valid ABN
53142425527,Claremont & Southport Aged Care Limited,VIC,Large,Y,Aged Care Activities,Y,15,104,47,30,8038202,73652,2971226,11083080,0,11083080,8345922,505475,0,0,4647845,13499242,-2416162,Valid ABN
53458364726,Ceylonese Welfare Organisationincorporated,VIC,Small,Y,Aged Care Activities,Y,0,0,0,80,20347,1007,27704,49058,0,49058,0,0,1952,100,33142,35194,13864,Valid ABN
53593064006,Carinya Lodge Homes Inc,VIC,Large,Y,Aged Care Activities,Y,3,55,4,20,0,23591,3047197,3070788,0,3070788,2027599,21337,0,0,919047,2967983,102805,Valid ABN
53615886010,Greenhills Community Benevolent Society Incorporated,VIC,Small,Y,Aged Care Activities,Y,0,0,0,11,0,0,0,0,51746,51746,0,0,50687,2000,5858,58545,-6799,Valid ABN
54116818613,Ararat Retirement Village Inc,VIC,Large,Y,Aged Care Activities,Y,7,65,16,23,0,18850,5250634,5269484,0,5269484,3817863,0,0,0,1220308,5038171,231313,Valid ABN
57004507644,Mayflower Brighton,VIC,Large,Y,Aged Care Activities,Y,16,102,36,71,0,32727,14328938,14361665,1056628,15418293,10289689,7399,0,0,5219753,15516841,-98548,Valid ABN
57006305844,Ukrainian Elderly People's Home,VIC,Large,Y,Aged Care Activities,Y,8,78,54,7,0,178043,8957758,9135801,211269,9347070,5837674,167870,2000,0,2375173,8382717,964353,Valid ABN
57131178759,San Carlo Homes For The Aged Ltd,VIC,Large,Y,Aged Care Activities,Y,20,117,25,5,7179043,63617,2882828,10125488,329792,10455280,7303964,65318,0,0,2268276,9637558,817722,Valid ABN
58023971349,Stanhope Senior Citizens Club Inc,VIC,Small,Y,Aged Care Activities,Y,0,0,0,9,0,100,3183,3283,0,3283,0,0,1282,0,2885,4167,-884,Valid ABN
58089460935,Rice Village Limited,VIC,Large,Y,Aged Care Activities,Y,5,99,36,60,5552000,2500000,1438000,9490000,10000,9500000,5145000,27000,0,0,3138000,8310000,1190000,Valid ABN
58110470434,Murchison Community Care Inc,VIC,Large,Y,Aged Care Activities,Y,15,42,8,26,30327,38651,3057265,3126243,938318,4064561,2692014,24700,0,0,859544,3576258,488303,Valid ABN
58483570647,South Port Community Residential Home Inc.,VIC,Large,Y,Aged Care Activities,Y,0,0,0,0,3276384,0,0,3276384,0,3276384,0,0,0,0,3360072,3360072,-83688,Valid ABN
